datetime,hour,day,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,HUMIDITY,PRESSURE,WIND_SPEED,wd,aqi
2020-01-01 00:00:00,0,1,82.45071229516849,104.02480635954593,19.10752634756389,58.56576783541071,1194.6572495333637,55.91747057493964,19.05828409731878,59.14097783411165,1008.281424516986,0.7291489371268156,NE,164
2020-01-01 01:00:00,1,1,80.69060683550784,115.07857486193633,23.30187409065442,65.88509804505739,1298.1332888032675,58.180308559783754,24.42323351021459,61.06849096729884,1023.127024710156,2.867471451574083,SE,164
2020-01-01 02:00:00,2,1,99.71532807151038,99.0871365473997,24.013094694774285,72.64294878587582,1162.6960308389018,54.376898671652704,28.23891478112224,43.455172712828634,1011.0181315269768,1.3165459639697874,W,173
2020-01-01 03:00:00,3,1,119.0586512817168,137.7180013193659,29.416051265409525,86.43917736493896,1559.114895886694,67.29870918796175,32.52007454463955,33.306654776169864,1013.9056926471764,3.7701890410473378,N,183
2020-01-01 04:00:00,4,1,97.4684614926831,166.12772480673462,36.280121291369504,73.31243660595909,1216.6948965876736,80.50336598933207,36.73274101766502,22.01224374757701,1020.1739060663772,5.672280126656828,S,172
2020-01-01 05:00:00,5,1,100.46572043443433,130.48201980147215,27.338121650895584,74.71874991581105,1428.829756678015,70.26119977249363,36.741666093005975,29.55633191408571,1012.4103659315106,6.981688561270399,NW,174
2020-01-01 06:00:00,6,1,128.68819223261087,178.46965302101185,36.50410248884207,96.36619742142975,1175.1824374204384,81.89535260460548,31.462025604657544,32.03126327650555,994.8215214167014,0.6027409384069256,W,188
2020-01-01 07:00:00,7,1,115.48929572596566,165.7221586046948,27.28497207486717,78.55577241212465,1871.3919252226435,56.05106678360947,33.54412147639373,20.0,1023.4058750455355,2.9183210769615964,W,181
2020-01-01 08:00:00,8,1,93.93864632450888,136.78647673087897,26.056092571575526,68.15425615505586,1468.4015329139381,58.608660456559114,33.889380803952086,41.89422120937911,1025.5492882991505,1.1529012753381578,NW,170
2020-01-01 09:00:00,9,1,104.3516040893859,141.4892124066377,32.95693412239499,72.11926332747845,1876.5748584972089,52.66283233943798,31.284446438525976,31.618724413182456,994.6888390839956,1.1108551885433258,S,176
2020-01-01 10:00:00,10,1,83.04873460781306,166.96643615282068,31.609681890038082,68.69947264755999,1510.589985303899,51.69737256415186,29.192114322395117,48.61415841101201,1002.5670879433846,4.053400888217863,SW,165
2020-01-01 11:00:00,11,1,75.77862504952176,138.81781329973077,29.086421089735957,81.76128435971816,1331.0882129663394,83.67882088127476,22.419960477062393,44.71441947743975,1033.238796174855,0.31487291840104964,NW,161
2020-01-01 12:00:00,12,1,78.62943407349051,112.67567309796296,15.921012958909294,69.24826212376738,1007.7544611438002,67.0207758622072,21.54179754658108,52.972166928873065,1015.3203467850391,1.2994487247823483,E,162
